Shortname,institution,attribute_1,attrib_value_1,attribute_2,attrib_value_2,attribute_3,attrib_value_3,attribute_4,attrib_value_4
JETPAY,101,CUTOFF,01:00,,,,,,
JETPAYSQ,105,CUTOFF,01:00,,,,,,
0400CLS107,107,CUTOFF,04:00,,,,,,
CNV1500107,107,CUTOFF,15:30,CONV_CHARGE,C,,,,
CNVNEXT107,107,CUTOFF,19:00,CONV_CHARGE,C,FUNDING,NEXTDAY,,
CNVNORM107,107,CUTOFF,01:00,CONV_CHARGE,C,,,,
JETPAYIS,107,CUTOFF,01:00,,,,,,
NEXTDAY107,107,CUTOFF,19:00,,,FUNDING,NEXTDAY,,
OKDMV,107,CUTOFF,19:00,CONV_CHARGE,C,FUNDING,NEXTDAY,AMEX_PRE_FUND,Y
OKTAX,107,CUTOFF,19:00,,,FUNDING,NEXTDAY,,
JETPAYMD,117,CUTOFF,01:00,,,,,,
SECUREBC,117,CUTOFF,01:00,,,,,,
JETPAYESQ,121,CUTOFF,01:00,,,,,,
NEXTDAY121,121,CUTOFF,19:00,,,FUNDING,NEXTDAY,,
DAS,122,CUTOFF,01:00,,,,,,
NEXTDAY122,122,CUTOFF,19:00,,,FUNDING,NEXTDAY,,
WEPAYCA,127,CUTOFF,01:00,,,,,,
PTCMDCA,129,CUTOFF,01:00,,,,,,
B2BILLCA,130,CUTOFF,01:00,,,,,,
CNVNORM130,130,CUTOFF,01:00,CONV_CHARGE,C,,,,
JETPAYCA,132,CUTOFF,01:00,,,,,,
JETPAYUS,133,CUTOFF,01:00,,,,,,
PTCMDUS,134,CUTOFF,01:00,,,,,,
EXPEDIA,808,CUTOFF,01:00,,,,,,
DYNMTEST,808,CUTOFF,01:00,,,,,,
