anonymous block completed
Checking 0104INTLMSIG 0 1.8 
Checking 0104INTLVSP 0 1.97 
Checking 0104IPS2 0 1.1 
Checking 0104IPUR 0 2 
Checking 0104ISTD 0 1.6 
Checking 0104IVSP 0 1.97 
Checking 0104PS2AF .25 1.15 
Checking 0104PUEMLT 35 1.45 
Checking 0104RTLKEYDB .15 1.65 
Checking 0104RTOCH .1 .55 
Checking 0104SETM 0 1.44 
Checking 0104SETMS 0 1.44 
Checking 0104STDSIG .1 2.7 
Checking 0104SUPCR .05 1.22 
Checking 0104SUPCRDB .15 1.03 
Checking 0104SUPCRT1 .05 1.15 
Checking 0104SUPDB .3 0 
Checking 0104SUPDBT1 .19 .62 .35
Checking 0104SUPDBT2 .23 .81 .35
Checking 0104SUPOCH .25 0 
Checking 0104UBUSINAIR 0 1.8 
Checking 0104UBUSLVL2 .1 2.05 
Checking 0104UBUSS .2 2.95 
Checking 0104UCORE .1 2.95 
Checking 0104UCORS .1 2.95 
Checking 0104UCRPINAIR 0 1.8 
Checking 0104UCVAIPT 0 2.33 
Checking 0104UCVCMNPT 0 2.35 
Checking 0104UCVCSMOTO 0 2.05 
Checking 0104UCVCSNPT 0 1.76 
Checking 0104UCVMOTODB 0 1.87 
Checking 0104UEIRF .1 2.3 
Checking 0104UEIRFDB .2 1.75 
Checking 0104UELEC .03 1.05 
Checking 0104UINAIR 0 1.1 
Checking 0104UPURINAIR 0 1.8 
Checking 0104UPURLVL2 .1 2.05 
Checking 0104UPURLVL3 .1 1.85 
Checking 0104UPURS .1 2.95 
Checking 0104URESTRNTCR .1 1.54 
Checking 0104URESTRNTDB .1 1.19 
Checking 0104URTLDB .15 .8 
Checking 0104URTLDBT1 .13 .62 
Checking 0104URTLDBT2 .13 .81 
Checking 0104URTLDBTX1 .15 .65 
Checking 0104URTLDBTX2 .15 .65 
Checking 0104URTLDPT .15 .65 
Checking 0104USBUSB2B .1 2.1 
Checking 0104USBUSCNP .1 2.25 
Checking 0104USBUSRTL .1 2.2 
Checking 0104USCORPB2B .1 2.55 
Checking 0104USCORPCNP .1 2.65 
Checking 0104USCORPRTL .1 2.5 
Checking 0104USIGINAIR 0 1.8 
Checking 0104USMLTCKT .04 1.65 
Checking 0104USMLTCKTDB .04 1.55 
Checking 0104USPURCHB2B .1 2.55 
Checking 0104USPURCHCNP .1 2.65 
Checking 0104USPURCHRTL .1 2.5 
Checking 0104USPURELWD .1 2.95 
Checking 0104USSIGNATAIR 0 1.8 
Checking 0104USTD .1 2.7 
Checking 0104USTDDB .25 1.9 
Checking 0104USVCSTNCR .25 1.15 
Checking 0104USVCSTNDB .15 .8 
Checking 0104USVSPB2B .1 2.1 
Checking 0104USVSPCNP .1 2.4 
Checking 0104USVSPELEC .1 2.4 
Checking 0104USVSPRTL .1 2.1 
Checking 0104USVSPSTD .1 2.95 
Checking 0104UUBC 1.5 0 
Checking 0104UUTILCR .75 0 
Checking 0104UUTILDB .65 0 
Checking 0104VEAIRCFLPIN 0 1.1 
Checking 0104VEAIRCFULL 0 1.1 
Checking 0104VEAIRCHIP 0 1 
Checking 0104VEAUTHNSEC 0 1.44 
Checking 0104VECFLPIN 0 1.1 
Checking 0104VECFULL 0 1.1 
Checking 0104VECI 0 1.2 
Checking 0104VECT 0 1 
Checking 0104VEINTAIR 0 1.1 
Checking 0104VEINTPS2000 0 1.1 
Checking 0104VENONAUTHNM 0 1.44 
Checking 0104VESTD 0 1.6 
Checking 0104VISGNATURE 0 1.8 
Checking 0105DREFCS1 0 1.72 
Checking 0105DREFCS2 0 1.68 
Checking 0105DREFCS3 0 1.4 
Checking 0105DUCATAFD .17 .7 
Checking 0105DUCPUR 0 1.9 
Checking 0105DUCWHCT1 .15 1.05 
Checking 0105DUCWHCT2 .15 1.05 
Checking 0105DUCWHCT3 .15 1.05 
Checking 0105DUEMERGMKT .25 .8 
Checking 0105DUFUCAF .15 1.25 
Checking 0105DUKEY .15 1.6 
Checking 0105DUM1 .15 1.6 
Checking 0105DUM1EC .16 1.64 
Checking 0105DUM3T1 .15 .7 
Checking 0105DUM3T2 .15 .83 
Checking 0105DUM3T3 .15 .95 
Checking 0105DUMUCAF .15 1.15 
Checking 0105DUPBLSEC .1 1.55 
Checking 0105DUPT .15 1.6 
Checking 0105DUSERVST .17 .7 
Checking 0105DUSIND .05 1.15 
Checking 0105DUSMLTCKT .04 1.55 
Checking 0105DUSTD .25 1.9 
Checking 0105USUPT1 .05 1.15 
Checking 0105USUPT2 .05 1.15 
Checking 0105USUPT3 .05 1.22 
Checking 0105UUTILCR .65 0 
Checking 0105UUTILDB .45 0 
Checking 0105UWEMCAIRL .1 2.3 
Checking 0105UWEMCCPUR 0 2 
Checking 0105UWEMCFUCAF .1 2.4 
Checking 0105UWEMCKEY .1 2.5 
Checking 0104AIRCFLPIN 0 1.1 
Checking 0104AIRCFULL 0 1.1 
Checking 0104AIRCT 0 1 
Checking 0104APGACQCHIP 0 1.32 
Checking 0104CAF .1 2.14 
Checking 0104CCNP .1 1.54 
Checking 0104CCP .1 1.54 
Checking 0104CECB .1 1.8 
Checking 0104CECP .1 1.8 
Checking 0104CFLPIN 0 1.1 
Checking 0104CFULL 0 1.1 
Checking 0104CHFT .49 0 
Checking 0104CPSACCTFDB .2 1.75 
Checking 0104CPSAFDDB .15 .8 
Checking 0104CPSCACNPDB .15 1.7 
Checking 0104CPSCACPDB .1 1.19 
Checking 0104CPSCAECPDB .15 1.7 
Checking 0104CPSCNPDB .15 1.65 
Checking 0104CPSECBAS .15 1.65 
Checking 0104CPSECPREF .15 1.6 
Checking 0104CPSHTLCNPDB .15 1.7 
Checking 0104CPSHTLCPDB .1 1.19 
Checking 0104CPSHTLECPDB .15 1.7 
Checking 0104CPSPTDB .2 1.6 
Checking 0104CPSPTECPDB .15 1.7 
Checking 0104CPSREW1 .1 1.65 
Checking 0104CPSREW2 .1 1.95 
Checking 0104CPSRTL2DB .15 .65 
Checking 0104CPTR .1 1.7 
Checking 0104CRDCNP .1 1.8 
Checking 0104CRECP .05 1.43 
Checking 0104CRT2 .05 1.43 
Checking 0104CRTCR .1 1.51 
Checking 0104CRTCRT2 .1 1.47 
Checking 0104CRTCRT3 .1 1.51 
Checking 0104CRTKE .1 1.8 
Checking 0104ECPREFCA .1 1.54 
Checking 0104ECPREFH .1 1.54 
Checking 0104ECPREFPT .1 1.7 
Checking 0104EDCASH -2.3 -.1 
Checking 0104EICASH -2.3 -.1 
Checking 0104EIRFSIG .1 2.3 
Checking 0104GSAG2G .1 1.65 
Checking 0104GSALT 39 1.2 
Checking 0104GSALT1 39 1.2 
Checking 0104HCNP .1 1.54 
Checking 0104HCP .1 1.54 
Checking 0104IAIR 0 1.1 
Checking 0104IBUS 0 2 
Checking 0104ICASH -1.75 -.33 
Checking 0104CRTCRT1 .1 1.43 
Checking 0104EXPY .02 2 
Checking 0104SUPCRT2 .05 1.2 
Checking 0104SUPCRT3 .05 1.22 
Checking 0104SUPDBT3 .28 .92 .35
Checking 0104URTLDBT3 .15 .92 
Checking 0105DUCONCVM1RELST 0 1.1 
Checking 0105HAIR .1 2.3 
Checking 0105HCONP 0 2 
Checking 0105HFULLUCAF .1 2.4 
Checking 0105HKEY .1 2.5 
Checking 0105HLRGTKT 0 2 
Checking 0105HM3B .1 2.2 
Checking 0105HM3T1 .1 2.05 
Checking 0105HM3T3 .1 2.15 
Checking 0105HMER1 .1 2.5 
Checking 0105HMERUCAF .1 2.3 
Checking 0105HPETBASE 0 2 
Checking 0105HPETCAP 0 2 
Checking 0105HPUBSEC .1 1.55 
Checking 0105HREST .1 2.2 
Checking 0105HSERIND .05 1.15 
Checking 0105HSMKTB .1 1.9 
Checking 0105HSMKTT1 .05 1.25 
Checking 0105HSMKTT2 .05 1.25 
Checking 0105HSTD .1 3.25 
Checking 0105HTNE .1 2.75 
Checking 0105HWHOB .1 1.9 
Checking 0105HWHT1 .1 1.9 
Checking 0105UBCTE1 0 2.5 
Checking 0105UBCTE2 .1 2.35 
Checking 0105UBCTE3 .1 2.3 
Checking 0105UBDR3 .1 1.91 
Checking 0105UBFTF .1 2.16 
Checking 0105UBTE1 0 2.66 
Checking 0105UBTE2 .1 2.51 
Checking 0105UCDR2BUS .1 2 
Checking 0105UCDR2PETRBUS .1 2.05 
Checking 0105UCFTFBUS .1 2 
Checking 0105UCLT 40 1.2 
Checking 0105UCONCVECM1INS .05 1.43 
Checking 0105UCONCVECM1RELST 0 1.1 
Checking 0105UCONCVM1INS .05 1.43 
Checking 0105UCONCVM1RELST 0 1.1 
Checking 0105UCPURDR2 .1 2.1 
Checking 0105UCST .1 2.95 
Checking 0105UCTE1 0 2.7 
