Date,Mid,Name,Amount,Count
 201207,BAHAMASEXPRES001,BAHAMAS EXPRESS,1960,6
201207,CYCLEPARTSCOM001,CYCLE PARTS.COM,25836.53,96
201208,ADTRIADLLC000001,SHOPMYCITY.COM,6487.27,94
201208,AMERICANWIREL001,AMERICAN WIRELESS INC,1739.7,30
201208,AUSTINPUBLICS001,AUSTIN PUBLIC SCHOOLS,1883.62,9
201208,AVALONWATERWA001,AVALON WATERWAYS,1632488.82,999
201208,BAHAMASEXPRES001,BAHAMAS EXPRESS,4670,11
201208,BCPSSD-SEWER0001,BCPSSD-SEWER,37028.14,374
201208,BCPSSDBCPSWD0001,BCPSSDBCPSWD,249622.19,3041
201208,BITLANCERLLC0001,BITLANCER LLC,277.5,2
201208,BLOOMINGTONIS001,BLOOMINGTON ISD CE,6283.36,34
201208,BRMMARKETINGA001,BRM MARKETING  ASSOCIATES INC,1678.62,58
201208,CAR-ISMACARWA001,CAR-ISMA CAR WASH,1171,121
201208,CHOICECOMMUNI002,CHOICE COMMUNICATIONS LLC,144437.91,2416
201208,CITYOFARLINGT001,CITY OF ARLINGTON,1589.78,10
201208,CITYOFBALTIC0001,CITY OF BALTIC,64.35,1
201208,CITYOFBENSONA001,CITY OF BENSON-AIRPORT,1155.96,5
201208,CITYOFCOLLEYV001,CITY OF COLLEYVILLE,1140.32,12
201208,CITYOFCOLLEYV003,COLLEYVILLE CITY COURT,11731.49,63
201208,CITYOFCOLLEYV006,COLLEYVILLE PERMITS,3839.18,24
201208,CITYOFLAKECRY002,CITY OF LAKE CRYSTAL,5532.75,32
201208,CITYOFLAKENOR001,CITY OF LAKE NORDEN,69.07,1
201208,CITYOFLUVERNE001,CITY OF LUVERNE,54.69,3
201208,CITYOFMONTBEL001,CITY OF MONT BELVIEU,961.51,5
201208,CITYOFPARKER0001,CITY OF PARKER,1554.23,8
201208,CITYOFVICTORI002,CITY OF VICTORIA,1331.98,8
201208,CITYOFVICTORI003,CITY OF VICTORIA-FIELD,2378.57,19
201208,CITYOFWINSTED001,CITY OF WINSTED,1214.78,11
201208,COMNETWIRELES001,CHOICE WIRELESS,39470.44,533
201208,CONTINENTALAI001,UNITED,1848,1
201208,COSMOSNORTHAM001,COSMOS NORTH AMERICAN OPTIONALS,233012.7,647
201208,COSMOSTOURS00001,COSMOS TOURS,2327561.7,1198
201208,CYCLEPARTSCOM001,CYCLE PARTS.COM,59067.64,207
201208,DELTAVACATION001,DELTA VACATIONS,80847,19
201208,DESMOINESPUBL003,COMMED DMSCHOOLS,27609,532
201208,EANESISD00000001,EANES ISD,1359.29,14
201208,EMERALDCOVEMA001,EMERALD COVE MARINA,46295.32,662
201208,GLOBUSFAMILYP002,GLOBUS FAMILY PURCHASE,4425,57
201208,GLOBUSNORTHAM001,GLOBUS NORTH AMERICAN OPTIONALS,40019.5,186
201208,GLOBUSTOURS00001,GLOBUS TOURS,8244909.57,2714
201208,GOODNEWSGARDE002,GOOD NEWS GARDENING CAFE,8987.44,547
201208,GOODVIEWCITY0001,GOODVIEW CITY,240.14,3
201208,GOODVIEWPUBLI001,GOODVIEW PUBLIC WORKS,1141.49,14
201208,GREATERLVASSO001,GREATER LV ASSOC OF REALTORS,325162.78,1398
201208,INNOVATIVEOUT001,INNOVATIVE OUTSOURCING INC,595,1
201208,ISD217FINANCE001,ISD 271FINANCE OFFICE,100,2
201208,KERRVILLEISD0002,KERRVILLE ISD,3718.61,12
201208,KINGSWAYAMIGO001,KINGSWAY AMIGO INSURANCE CO,174604.99,600
201208,KISHVETERINAR001,KISH VETERINARY SERVICES,632.08,6
201208,KWIKOMLLC0000001,KWIKOM COMMUNICATIONS,81.41,1
201208,LAKECRYSTALAR001,LAKE CRYSTAL AREA RC,2942.8,44
201208,LEWISCLARKRIV001,LEWIS  CLARK RIVER EXPEDITIONS,12.24,2
201208,LIN-MARKSPORT001,LIN-MARK SPORTS,85,1
201208,MERCYCOLLEGEA001,MERCY COLLEGE AT NW OF OHIO-DEGREED,117887.09,78
201208,MIXANDMINGLEG001,MIX AND MINGLE GREEK BISTRO,1024.64,21
201208,MONOGRAMS0000001,MONOGRAMS,990400.94,420
201208,MONOGRAMSPREP001,GLOBUS FAMILY PPO,219842,600
201208,NETHERE200000001,NETHERE 2,10185.48,8
201208,NORMANDYFARMS003,NORMANDY FARMS CAMPGROUND,10729.85,594
201208,NORTHAMERICAO002,NORTH AMERICA OPTIONALS,8268,22
201208,ONESTOPPARKIN001,ONESTOPPARKING.COM,73255.82,2031
201208,ORBRIDGEOPTIO001,ORBRIDGE OPTIONALS,1750,13
201208,ORGONITE00000001,ORGONITE,601.12,13
201208,OWATONNACOMME001,OWATONNA COMM. EDUC.,12390,212
201208,PARAGONREPROD001,PARAGON REPRODUCTIONS,268191.03,1345
201208,PERFORMANCEDI001,PERFORMANCE DIAGNOSTIC,2663.86,14
201208,PIONEERLINENS001,PIONEER LINENS,82267.24,253
201208,PIONEERLINENS002,PIONEER LINENS - FLOOR SALES,119817.26,195
201208,PIONEERLINENS003,PIONEER LINENS - YACHT SALES,22905.31,9
201208,PROKNEE000000002,PROKNEE,42612,155
201208,QUEENLANDINC0001,CAMP A WAY,553.14,8
201208,REALTYSTORECO001,REALTYSTORE.COM,89.4,2
201208,REDOAKCOURT00001,RED OAK CITY COURT,19073.2,100
201208,ROOTAUTOMATIO001,ROOT AUTOMATION,975.9,16
201208,SEMO-JPBOOKST001,SEMO-JP BOOKSTORE,290.97,8
201208,SKIPPERSBOOST001,SKIPPERS BOOSTER CLUB,12385.6,274
201208,SMARTBID00000001,SMARTBID,6515.01,292
201208,STASNYSFOODMA001,STASNYS FOOD MARKET,380.81,2
201208,STCLOUDCITYWE001,ST CLOUD UTILITY,5145,217
201208,STILLWATERPAR001,STILLWATER PARK RAMP,200,45
201208,STILLWATERPAR002,STILLWATER PARK RAMP,300,80
201208,STILLWATERPAR003,STILLWATER PARK RAMP,13.01,5
201208,STILLWATERPAR004,STILLWATER PARKING LOT,1929,487
201208,STILLWATERPAR005,STILLWATER PARKING LOT,8609.25,2159
201208,THEACTIVENETW001,THE ACTIVE NETWORK INC,22447,53
201208,THEEONISTORE0001,EONI INTERNET,20463.01,475
201208,VERI-TAXCOM00001,VERI TAX LLC,42205,282
201208,VERIFICATIONB001,VERIFICATION BUREAU,6619.6,22
201208,WAXYOCONNORSI001,WAXY OCONNORS IRISH PUB  RESTAURANT,33434.63,741
201208,WEBSBIGGESTCO001,WEBSBIGGEST.COM,4227,125
201208,YMCA-PHIL-ABINGT,YMCA PHILADELPHIA- ABINGTON,111377.2,1225
201208,YMCA-PHIL-AMBLER,YMCA PHILADELPHIA- AMBLER,197006.42,2107
201208,YMCA-PHIL-CHRIST,YMCA PHILADELPHIA- CHRISTIAN ST,46859.46,764
201208,YMCA-PHIL-COLUMB,YMCA PHILADELPHIA- COLUMBIA N BRANCH,16377.26,400
201208,YMCA-PHIL-HATBOR,YMCA PHILADELPHIA- HATBORO,72258.3,700
201208,YMCA-PHIL-NORTHE,YMCA PHILADELPHIA- NORTHEAST,62491.62,777
201208,YMCA-PHIL-ONLINE,YMCA PHILADELPHIA-ONLINE,105752.15,963
201208,YMCA-PHIL-ROCKY,YMCA PHILADELPHIA- ROCKY RUN,176058.37,2097
201208,YMCA-PHIL-ROXBOR,YMCA PHILADELPHIA- ROXBOROUGH,36278.7,449
201208,YMCA-PHIL-UPPERM,YMCA PHILADELPHIA MAIN LINE,41740.6,385
201208,YMCA-PHIL-VICIN,YMCA PHILADELPHIA AND VICINITY,3167.5,7
201208,YMCA-PHIL-WEST,YMCA PHILADELPHIA- WEST,33013.59,866
201208,YMCABOSTONONL001,YMCA BOSTON ONLINE DONATIONS,4530,15
201208,YMCADETROITCA001,YMCA DETROIT CAMP - CHARITY,10551.94,54
201208,YMCAMETROFORT001,YMCA METRO FORT WORTH,740156.12,10635
201208,YMCAOFMETROPO001,YMCA DALLAS TURKEY TROT,14001,282
